LeagueName,Level
Regionalliga Ost Herren,3
Regionalliga West,3
1. FBL,1
Herren Verbandsliga Nord,3
Herren Bayernliga,3
RL Herren GF Staffel 1,3
Regionalliga Süd (GF),3
Floorball Regionalliga West Herren GF,3
Stena Line FD-Pokal (Herren),2
Verbandsliga Baden-Württemberg,3
2. FBL Süd/Ost,2
Playoffs Verbandsliga Herren,3
Regionalliga Süd Bayern,3
2. FBL Herren Nord/West,2
Verbandsliga West Herren GF,3
2. FBL Herren Süd/Ost,2
Herren Großfeld Verbandsliga Nord,3
Regionalliga Herren Großfeld,3
1. FBL Herren,1
Regionalliga Nordwest (Herren GF),3
Playoffs 1. FBL,1
Verbandsliga Ost Herren St. 2,3
2. FBL Nord/West,2
Verbandsliga Ost Herren Staffel 2,3
Herren Regionalliga Nord,3
Regionalliga Süd: Staffel Baden-Württemberg,3
Jamasi Regionalliga Nordwest Herren,3
Relegation 1. / 2. FBL Herren,1
Verbandsliga Ost Herren St. 3,3
Stena Line FD-Pokal Herren,2
Verbandsliga Ost Herren St. 1,3
RL Herren GF Staffel 2,3
Süddeutsche Meisterschaft Herren GF,3
PO Herren GF,3
Playdowns 1. FBL,1
Playoffs Regionalliga Herren GF,3
Westliga Herren Großfeld,3
Regionalliga Süd - Staffel BW,3
Verbandsliga Ost Herren Staffel 1,3
Playoffs Verbandsliga Herren GF,3
Regionalliga Süd - Staffel Bayern,3
Regionalligameisterschaft Nord/West,3
Playoffs 2. FBL Herren,2
Playoffs 1. FBL Herren,1
Verbandsliga Herren,3
Herren Großfeld,3
Playoffs Herren Großfeld RL,3
Play-Down 1. FBL Herren,1
Verbandsliga Nordwest Herren,3
Play-Offs 2. FBL Herren,2
Play Downs Regionalliga West Herren GF,3
Playoffs 2. FBL,2
Play-Offs 1. FBL Herren,1
Herren Großfeld Regionalliga Nord,3
Relegation 1. / 2. FBL,1
Play Offs Regionalliga West Herren GF,3
Regionalliga Herren Großfeld Playoffs,3
Süddeutsches Final4,3
Relegation Regionalliga / Verbandsliga,3
Playdowns 1. FBL Herren,1
Relegation 2. FBL/Regionalliga NW,2
Relegation 2. FBL / RL NW,2
Regionalligameisterschaft Süd/Ost,3
Relegation 1./2. FBL Herren,1
Verbandsliga NRW Herren,3
Regionalliga Süd Staffel Bayern GF,3
Regionalliga Herren,3
Regionalliga NRW Herren,3
Regionalliga Hessen Herren GF,3
FD-Pokal Herren,2
Verbandsliga Herren St. 1,3
Verbandsliga Herren St. 2,3
Regionalliga Süd: Staffel BW,3
Herren Großfeld Regionalliga,3
2. FBL - Playoffs,2
1. FBL - Playoffs,1
Playoffs VL Herren,3
1. FBL - Playdowns,1
Herren Großfeld Regionalliga Playoffs,3
Playoffs RL Herren,3
Qualifikation Regionalligameisterschaft Herren Ost,3
Relegation 1. FBL / 2. FBL,1
Relegation RL/VL Herren,3
Relegation 2. FBL / RL,2
Regionalliga Süd Staffel Bayern Süd,3
RL West (Hessen) - Herren GF,3
Herren GF Playoffs,3
Playoffs Regionalliga Ost Herren,3
Quali zur Regionalligameisterschaft,3
Playoffs Verbandsliga Ost Herren,3
Relegation RL/VL Ost Herren,3
RL West (Hessen) Herren GF,3
Regionalliga Süd Herren GF Staffel Bayern,3
Herren Großfeld Regionalliga Playoffs OST,3
Playoffs Regionalliga Ost Herren (VF),3
2. FBL Ost,2
Herren GF Regionalliga Hessen,3
2. FBL Süd/West,2
Playoffs zum Aufstieg in die Regionalliga Ost Herren,3
Verbandsliga Ost Herren,3
Regionalliga Großfeld,3
Herren Großfeld Regionalliga Schleswig-Holstein - Challengeround ,3
Herren Großfeld Regionalliga Schleswig-Holstein - Masterround ,3
Norddeutsche Meisterschaft,3
1. FBL Herren - Playoffs,1
1. FBL Herren - Playdowns,1
Relegation 1. FBL Herren / 2. FBL,1
